Member_number,Date,itemDescription
1585,07-01-2015,yogurt
1707,09-06-2015,whipped/sour cream
2467,09-06-2015,other vegetables
2143,12-02-2015,onions
2088,09-02-2015,pastry
2814,08-01-2015,yogurt
3940,09-03-2015,root vegetables
4177,15-06-2015,canned beer
4260,19-10-2015,whipped/sour cream
2169,01-11-2015,salty snack
1612,06-11-2015,frozen vegetables
1464,03-06-2015,dessert
3870,21-02-2015,yogurt
3253,20-06-2015,frozen fish
2784,13-11-2015,margarine
2548,11-11-2015,pork
4064,10-02-2015,coffee
2309,23-03-2015,yogurt
3104,13-05-2015,whole milk
2849,24-11-2015,yogurt
3461,26-06-2015,soda
1601,02-12-2015,soda
3701,15-04-2015,long life bakery product
3955,23-11-2015,root vegetables
4719,28-12-2015,whole milk
1690,21-08-2015,curd
1315,26-08-2015,rolls/buns
3772,18-02-2015,waffles
3797,16-09-2015,butter
3515,03-07-2015,rolls/buns
4163,13-03-2015,soda
1374,05-08-2015,rolls/buns
2775,07-01-2015,chicken
3937,25-04-2015,citrus fruit
3166,14-03-2015,UHT-milk
1805,09-06-2015,pork
2624,21-05-2015,specialty chocolate
4072,14-08-2015,canned beer
1794,17-09-2015,bottled beer
3673,27-08-2015,specialty bar
2696,02-09-2015,pip fruit
1991,09-12-2015,other vegetables
2321,26-01-2015,other vegetables
2636,19-05-2015,margarine
4721,06-07-2015,grapes
3051,09-02-2015,napkins
1705,20-07-2015,cream cheese 
4714,30-08-2015,specialty chocolate
1327,08-06-2015,instant coffee
4719,26-09-2015,specialty bar
3185,02-03-2015,pastry
3621,05-03-2015,other vegetables
3308,17-07-2015,soda
1915,07-08-2015,soda
2753,08-09-2015,cream cheese 
2792,24-10-2015,root vegetables
1723,08-12-2015,margarine
4398,08-11-2015,soda
4667,25-08-2015,cream cheese 
2691,05-02-2015,pip fruit
1636,05-12-2015,other vegetables
2681,02-05-2015,fruit/vegetable juice
3854,19-03-2015,shopping bags
2571,17-07-2015,sugar
3789,12-10-2015,salty snack
4119,15-04-2015,whole milk
3099,18-07-2015,whole milk
1213,07-02-2015,fruit/vegetable juice
2294,31-08-2015,ice cream
2149,23-05-2015,salty snack
4019,28-08-2015,sauces
4167,06-09-2015,condensed milk
2885,19-11-2015,bottled water
4706,23-11-2015,chocolate
3786,11-05-2015,zwieback
2019,18-02-2015,flour
4675,31-10-2015,pastry
4042,30-04-2015,citrus fruit
2102,14-02-2015,root vegetables
2240,01-12-2015,white bread
2151,16-07-2015,other vegetables
3878,24-07-2015,rolls/buns
4235,25-09-2015,bottled water
4817,20-12-2015,dishes
1992,28-08-2015,rolls/buns
3407,25-03-2015,tropical fruit
3668,22-10-2015,brandy
3500,21-07-2015,misc. beverages
1874,15-06-2015,pastry
1343,01-11-2015,specialty chocolate
3234,16-08-2015,tropical fruit
1430,27-10-2015,white wine
3772,27-09-2015,cake bar
2981,10-03-2015,whole milk
1287,28-01-2015,pip fruit
1500,08-03-2015,pasta
2193,14-04-2015,yogurt
1997,21-07-2015,white bread
4546,03-09-2015,whipped/sour cream
4736,21-07-2015,yogurt
1959,30-03-2015,specialty chocolate
